index_time, rank, date-time, dist file, total_computing_time (s), sending_time (s), BaB_computing_time (s), gathering_time (s), count_BaB, best_bound, best_path, MODE_SEND, MODE_GATHER
32689611.480839, 0, 2023-02-03 22:04:56, input/dist15, 5.118790, 0.001085, 3.214696, 1.899229, 11111178.000000, 237.000000, 404100104141509081971682214674432.000000, 0, 0
32689611.480839, 1, 2023-02-03 22:04:56, input/dist15, 5.119500, 0.005567, 5.113831, 0.000099, 36877046.000000, 297.000000, 404101514010406052902486761537536.000000, 0, 0
32689611.480839, 2, 2023-02-03 22:04:56, input/dist15, 5.119499, 0.005555, 2.527709, 2.586230, 24567053.000000, 295.000000, 404100712020308053790332804923392.000000, 0, 0
32689611.480839, 3, 2023-02-03 22:04:56, input/dist15, 5.119488, 0.005556, 3.651885, 1.462043, 17862213.000000, 283.000000, 404100401141509087671895013195776.000000, 0, 0
32683122.708705, 0, 2023-02-03 21:46:06, input/dist17, 57.235960, 0.001194, 43.276390, 13.955215, 210419183.000000, 260.000000, 4041001041415090982278754296309743616.000000, 0, 0
32683122.708705, 1, 2023-02-03 21:46:06, input/dist17, 57.237734, 0.006203, 42.482727, 14.748800, 278505163.000000, 318.000000, 4041002160308052079180620867857022976.000000, 0, 0
32683122.708705, 2, 2023-02-03 21:46:06, input/dist17, 57.236433, 0.004695, 16.814359, 40.417374, 112747309.000000, 332.000000, 4041003160208052126906144528565010432.000000, 0, 0
32683122.708705, 3, 2023-02-03 21:46:06, input/dist17, 57.237776, 0.006181, 44.117382, 13.114208, 299628546.000000, 306.000000, 4041004011415090574653515924963852288.000000, 0, 0
32683122.708705, 4, 2023-02-03 21:46:06, input/dist17, 57.236783, 0.005097, 41.910873, 15.320810, 277792621.000000, 327.000000, 4041005131106091467045248145641439232.000000, 0, 0
32683122.708705, 5, 2023-02-03 21:46:06, input/dist17, 57.236598, 0.004970, 45.167345, 12.064279, 291435498.000000, 399.000000, 4041006010216030949059333615909863424.000000, 0, 0
32683122.708705, 6, 2023-02-03 21:46:06, input/dist17, 57.238100, 0.006197, 57.231788, 0.000110, 398960685.000000, 323.000000, 4041007120316022393313267431289913344.000000, 0, 0
32683122.708705, 7, 2023-02-03 21:46:06, input/dist17, 57.236566, 0.004877, 33.812407, 23.419278, 197220726.000000, 317.000000, 4041008051311062263052414296138973184.000000, 0, 0
32683122.708705, 8, 2023-02-03 21:46:06, input/dist17, 57.238023, 0.006300, 38.601804, 18.629914, 297070407.000000, 336.000000, 4041009061113051397728909673579413504.000000, 0, 0
32683122.708705, 9, 2023-02-03 21:46:06, input/dist17, 57.235403, 0.003802, 35.837687, 21.393911, 270588516.000000, 336.000000, 4041011060915141140348626813002448896.000000, 0, 0
32683122.708705, 10, 2023-02-03 21:46:06, input/dist17, 57.237116, 0.005560, 15.623386, 41.608166, 111554731.000000, 368.000000, 4041012020316072514065330478839234560.000000, 0, 0
32683122.708705, 11, 2023-02-03 21:46:06, input/dist17, 57.238003, 0.006192, 38.827418, 18.404389, 255695524.000000, 345.000000, 4041013030216081448643509647157755904.000000, 0, 0
32683122.708705, 12, 2023-02-03 21:46:06, input/dist17, 57.237892, 0.006224, 43.749308, 13.482355, 329705764.000000, 312.000000, 4041014150401170559630064955020017664.000000, 0, 0
32683122.708705, 13, 2023-02-03 21:46:06, input/dist17, 57.237708, 0.006276, 49.425470, 7.805958, 317043965.000000, 329.000000, 4041015010414061866086447858434703360.000000, 0, 0
32683122.708705, 14, 2023-02-03 21:46:06, input/dist17, 57.235437, 0.003836, 34.761748, 22.469849, 209801745.000000, 324.000000, 4041016020308052144582209663928369152.000000, 0, 0
32683122.708705, 15, 2023-02-03 21:46:06, input/dist17, 57.234303, 0.002611, 30.468904, 26.762784, 151962988.000000, 294.000000, 4041017010414151580895733841083236352.000000, 0, 0
32683229.518985, 0, 2023-02-03 21:47:22, input/dist5, 0.007759, 0.002092, 0.000933, 0.001753, 4.000000, 115.000000, 4040104050203.000000, 0, 0
32683229.518985, 1, 2023-02-03 21:47:22, input/dist5, 0.008043, 0.005377, 0.001750, 0.000912, 4.000000, 148.000000, 4040102030504.000000, 0, 0
32683229.518985, 2, 2023-02-03 21:47:22, input/dist5, 0.008074, 0.005430, 0.001146, 0.001494, 4.000000, 202.000000, 4040102040305.000000, 0, 0
32683229.518985, 3, 2023-02-03 21:47:22, input/dist5, 0.008073, 0.005404, 0.001205, 0.001461, 3.000000, 169.000000, 4040102040503.000000, 0, 0
32683229.518985, 4, 2023-02-03 21:47:22, input/dist5, 0.008045, 0.005402, 0.001063, 0.001576, 4.000000, 181.000000, 4040102050304.000000, 0, 0
32683229.518985, 5, 2023-02-03 21:47:22, input/dist5, 0.008076, 0.005408, 0.001160, 0.001505, 3.000000, 179.000000, 4040102050403.000000, 0, 0
32683229.518985, 6, 2023-02-03 21:47:22, input/dist5, 0.008041, 0.005404, 0.001894, 0.000740, 4.000000, 188.000000, 4040103020405.000000, 0, 0
32683229.518985, 7, 2023-02-03 21:47:22, input/dist5, 0.008053, 0.005366, 0.001211, 0.001471, 3.000000, 167.000000, 4040103020504.000000, 0, 0
